Feature,Importance
FP_1247,0.00017568421331603796
FP_655,0.0001744069794474346
FP_1816,0.00017383063367209134
FP_1326,0.00017094262341403965
FP_1451,0.0001708929918989593
FP_1694,0.0001705018998394171
FP_116,0.00017048709016847879
FP_355,0.00016991858814376147
FP_620,0.00016936434000857444
FP_379,0.00016905606794584077
FP_11,0.0001686855634552795
FP_1242,0.00016703596958300956
FP_374,0.000166878942900997
FP_976,0.00016597942625511738
FP_1817,0.0001656947253082697
FP_701,0.0001655419615660731
FP_1860,0.00016444337652890504
FP_679,0.00016299062086382152
FP_171,0.0001628322510582508
FP_1389,0.0001620918964669607
FP_883,0.00016146566174382853
FP_1583,0.00016108645014761526
FP_1597,0.00015982425576645403
FP_1943,0.00015889719642054535
FP_1718,0.0001576809394187905
FP_1764,0.0001572381939835668
FP_1730,0.00015591117798067626
FP_1001,0.00015579463548708004
FP_77,0.00015559328065054294
FP_33,0.00015524664753773976
FP_1328,0.00015513958903613228
FP_803,0.00015440473006832128
FP_2030,0.00015400525898484626
FP_1837,0.00015399920536398768
FP_1446,0.00015384909560939538
FP_27,0.00015309005420813325
FP_595,0.00015281480002320012
FP_1550,0.00015224865690005194
FP_99,0.00015172644111898168
FP_1713,0.0001509579730506933
FP_187,0.000150867459443701
FP_1851,0.00015064261685496867
FP_670,0.00015045329417298186
FP_559,0.00015031486501721682
FP_1811,0.00015024833886235405
FP_838,0.00014997604149839802
FP_1969,0.00014882798421492826
FP_331,0.00014870620432355314
FP_1584,0.00014826516037182844
FP_664,0.00014826458252954205
FP_587,0.00014820616630447592
FP_1082,0.00014786186342635567
FP_2043,0.00014748708750327846
FP_925,0.00014715082407125684
FP_828,0.00014672695479664988
FP_1293,0.0001451479685318105
FP_1043,0.00014513218625164108
FP_1050,0.00014406278515079386
FP_1859,0.00014368850235575942
FP_1778,0.0001436283245633237
FP_472,0.00014353785361119657
FP_1905,0.00014346472728840704
FP_908,0.0001432407980803266
FP_394,0.00014308899749209414
FP_53,0.0001427708761389713
FP_1757,0.00014222073863966091
FP_1882,0.0001418384310768771
FP_1239,0.00014091408150485399
FP_1777,0.00013999513531944726
FP_532,0.00013887310421480594
FP_182,0.00013834713206996942
FP_1656,0.00013814289976073495
FP_135,0.00013745277286964487
FP_36,0.0001372610604418735
FP_79,0.0001371995222633116
FP_1232,0.00013696575142746668
FP_869,0.00013682798352128206
FP_1886,0.00013671728485586805
FP_753,0.0001364391601048493
FP_230,0.0001360499350244443
FP_494,0.00013545291566444974
FP_1981,0.00013493794918554897
FP_964,0.0001347591346623739
FP_354,0.00013368818725905556
FP_1779,0.00013360640396845104
FP_406,0.00013351030397472374
FP_489,0.00013348554414795068
FP_895,0.00013341755497256672
FP_1668,0.000133266113543832
FP_1102,0.0001332358265823556
FP_1409,0.00013282552685165203
FP_1503,0.0001319426427272183
FP_1506,0.00013149830713601703
FP_1948,0.00013140311572871737
FP_676,0.00013107984669200455
FP_968,0.00013103231728772046
FP_1287,0.00013102936296697652
FP_363,0.00013092533679255405
FP_857,0.00013040606630274775
FP_599,0.00013038538958622242
FP_820,0.0001291634664939721
FP_304,0.0001291595762036281
FP_1853,0.00012901808622854658
FP_1696,0.00012894452744884678
FP_1244,0.00012852356115473074
FP_1035,0.00012800996786862002
FP_1653,0.0001275075842896635
FP_1343,0.0001273227419848283
FP_404,0.00012713939929396263
FP_1747,0.0001271250410603539
FP_606,0.00012703843953909197
FP_276,0.0001266723606704355
FP_1038,0.0001265975562357822
FP_830,0.00012642850911019545
FP_1272,0.00012623935637802095
FP_288,0.00012529191543469395
FP_320,0.0001249043743602652
FP_127,0.00012433536349927332
FP_1532,0.00012424114812875016
FP_1652,0.0001240845131115636
FP_449,0.0001240785095650541
FP_219,0.00012395466565899595
FP_901,0.00012321192686949822
FP_32,0.0001230126732507225
FP_960,0.00012244342613924175
FP_1630,0.00012197565660220738
FP_454,0.00012192947200211341
FP_334,0.0001218822020522952
FP_1157,0.00012165012828430893
FP_1312,0.00012136919812997207
FP_643,0.00012124827911566084
FP_184,0.00012102285486759882
FP_1626,0.00012093936794449838
FP_456,0.00012084870483231638
FP_312,0.00012081336145970053
FP_103,0.00011993932348536843
FP_1949,0.00011911007411817697
FP_566,0.00011873323074850066
FP_108,0.00011850144086441942
FP_517,0.00011811480502683827
FP_1737,0.00011804681503510783
FP_63,0.0001177915236738162
FP_278,0.00011762897882841942
FP_1588,0.00011744858574742604
FP_227,0.00011714151559491446
FP_834,0.00011692250150551225
FP_194,0.0001168395663901727
FP_1598,0.0001165067523536206
FP_1554,0.00011627972968017315
FP_1711,0.00011591912601798382
FP_1767,0.00011579960857859052
FP_434,0.00011579812623113904
FP_112,0.00011576400820871501
FP_916,0.00011561545096081333
FP_281,0.00011554381368996007
FP_1461,0.00011552848417625989
FP_1961,0.0001154028729730437
FP_1727,0.00011530721362761164
FP_903,0.00011527555222573813
FP_1796,0.00011515786394827073
FP_848,0.00011428962345146242
FP_270,0.00011417235059852556
FP_944,0.00011407728559082758
FP_2036,0.00011370471401351556
FP_1375,0.00011368408594105105
FP_1015,0.00011352376619873571
FP_121,0.00011295369148559296
FP_1267,0.00011294793896789741
FP_1924,0.00011253860472051849
FP_588,0.00011249947936182151
FP_371,0.00011247887846561132
FP_938,0.00011247369524211116
FP_1660,0.0001120326314266218
FP_554,0.00011202605256293157
FP_158,0.00011167078203644978
FP_1333,0.00011062447123595255
FP_1893,0.0001102077705246837
FP_692,0.00010934317460144616
FP_325,0.00010926648636198695
FP_298,0.00010896160278528385
FP_1456,0.00010891978483528027
FP_1714,0.000108751965911476
FP_1862,0.00010849358128793163
FP_1795,0.00010848766229508628
FP_1563,0.00010756080020560101
FP_1109,0.00010684403128398632
FP_640,0.00010671811148940365
FP_468,0.00010585404874470614
FP_1654,0.00010564432693815598
FP_619,0.00010554798831280098
FP_1228,0.00010554411067355454
FP_252,0.00010549218336045556
FP_245,0.00010544113899232094
FP_576,0.00010539732314677372
FP_1284,0.00010529180837038447
FP_947,0.00010511576941058722
FP_2014,0.00010461498109890376
FP_721,0.00010461235161417626
FP_1494,0.00010438170059635541
FP_1377,0.00010366489044644
FP_911,0.00010335818341715222
FP_1613,0.0001033286285230298
FP_1989,0.00010316951229414238
FP_845,0.00010298089143707484
FP_1493,0.00010293536256405392
FP_678,0.00010280700622811262
FP_377,0.00010271225125255704
FP_1289,0.00010264070299320132
FP_1675,0.0001023799097037806
FP_272,0.00010218547789863225
FP_1691,0.00010197529588877438
FP_759,0.00010195339349021294
FP_567,0.00010160254286554575
FP_1907,0.00010158362453452039
FP_269,0.00010156678650345652
FP_1356,0.00010102282754934864
FP_1578,0.00010097288086681763
FP_65,0.00010096796108986574
FP_1809,0.00010092340713799204
FP_522,0.00010090548636513833
FP_1462,0.00010079213891879185
FP_1256,0.00010073794196002541
FP_1975,0.00010063954065459422
FP_1522,0.00010048705899908501
FP_442,0.00010046873854509693
FP_953,0.00010023129135150423
FP_1902,9.97581855739356e-05
FP_1177,9.939746605814043e-05
FP_214,9.92868478707624e-05
FP_223,9.914093828566241e-05
FP_1780,9.878778890374276e-05
FP_1225,9.875926093257868e-05
FP_1568,9.868278435340203e-05
FP_1240,9.786680170015689e-05
FP_874,9.77290324019597e-05
FP_1419,9.753005515330828e-05
FP_1053,9.711607574097421e-05
FP_854,9.700218810178976e-05
FP_1755,9.698961514146223e-05
FP_735,9.603126970369741e-05
FP_2026,9.593235180776004e-05
FP_1915,9.579246999387405e-05
FP_485,9.565896534758407e-05
FP_1473,9.560623237496952e-05
FP_544,9.553440582853085e-05
FP_1341,9.506332866655578e-05
FP_892,9.498015674873079e-05
FP_1706,9.491304734465992e-05
FP_1324,9.431847498952331e-05
FP_70,9.424602667838943e-05
FP_1958,9.401060627233944e-05
FP_1466,9.39215665243694e-05
FP_381,9.36814109930247e-05
FP_1898,9.365726665670347e-05
FP_1415,9.34635367509856e-05
FP_1775,9.328987037723865e-05
FP_172,9.315513144792557e-05
FP_1348,9.269044974963857e-05
FP_649,9.218428193912076e-05
FP_1404,9.125879008320624e-05
FP_1134,9.125520145559853e-05
FP_970,8.997933355488209e-05
FP_872,8.946876497326436e-05
FP_1454,8.92123836041703e-05
FP_611,8.921008838796427e-05
