UMAP1,UMAP2,pKi
7.5770125,15.088149,8.455931955649724
9.72558,13.411418,7.301029995663981
6.5047307,13.000792,7.443697499232712
6.521158,13.005658,7.721246399047171
7.524918,14.392982,8.102372908709558
7.422239,14.483614,7.327902142064283
-1.2989073,16.619867,8.698970004336019
10.098665,13.458514,6.46344155742847
9.9894285,13.476708,7.769551078621726
6.567314,13.055362,8.443697499232712
6.5570316,13.040234,7.376750709602099
6.6147323,13.061586,6.231361898752385
10.641558,12.871491,8.397940008672037
10.65041,12.857676,8.795880017344075
7.0571666,14.828817,6.699991797446187
7.5251355,16.876656,7.397940008672037
10.367722,13.077059,7.958607314841775
10.66838,12.84633,8.537602002101044
7.052032,14.850097,7.299988937677887
4.665196,4.5027723,7.599980364934842
4.664627,4.501423,5.59999938302362
4.7314653,4.606933,6.599997654072044
6.42115,16.637033,8.0
3.5579875,15.695195,8.400007822415901
4.6651917,4.503352,8.199970640755867
4.6658106,4.501137,8.0
8.04196,16.195345,7.700057099977233
7.3079395,14.6576185,6.699991797446187
8.034458,14.762824,8.029978734171634
4.6605196,4.4999385,6.499996931948306
7.272957,17.2024,8.280006173632396
7.99191,14.734782,7.169989064063882
7.885951,16.373327,7.079981083971085
7.5747266,14.528634,7.029978734171634
-10.713509,-20.49935,8.700057099977233
4.665019,4.5020175,8.500038134403809
6.316345,16.565794,7.309981219211305
4.6607685,4.4993467,7.400007822415902
-17.933086,-4.23451,8.029978734171634
7.7571335,14.632369,6.900008766455316
4.6655974,4.5030837,7.199970640755866
0.23853976,7.8236837,8.230032198670557
4.659723,4.508673,5.899998417198648
6.3979087,16.6223,8.389978975335854
9.80616,13.537721,5.410000161858408
7.267717,17.20367,8.849857838151442
6.427743,16.634945,8.289967300934247
4.6553288,4.4947953,7.700057099977233
4.669081,4.5001388,8.100015437450608
7.5776706,14.612417,5.940001369850308
7.3432727,14.587003,6.699991797446187
4.9828873,15.17737,5.369999510099088
4.690444,4.553158,7.599980364934842
6.930762,15.285087,6.060001790087838
4.6663585,4.50341,8.199970640755867
7.294507,14.649022,7.899974269892137
4.690227,4.544974,7.700057099977233
7.2670784,17.201082,8.439973751087107
8.153446,14.90986,8.36001575195841
7.3339205,17.188086,7.169989064063882
7.9606514,16.291903,6.740000204918113
7.567341,14.573964,5.550000451689026
7.269562,14.68648,7.0
7.7502847,17.616888,9.32002730572258
4.6783996,4.515754,7.599980364934842
-25.00949,13.84685,9.79997073344623
6.2942595,16.517029,7.450016388840311
7.7506094,17.637379,8.349984047528162
8.4349785,14.512765,7.53003079050004
6.12981,6.9609284,7.789949150124863
6.143929,6.9761133,8.669992299127241
1.0468718,20.064814,7.096910013008056
1.8023714,10.124436,6.900008766455316
1.7944031,10.113366,7.709965388637482
5.4622016,13.742972,6.589999287456538
1.8016866,10.179928,7.090016305060156
1.8013601,10.177328,7.519993057042849
15.089762,11.254935,8.698970004336019
8.426993,14.52725,8.53003079050004
3.537592,14.11055,7.599980364934842
3.5693524,14.092483,7.439973751087107
2.3753967,16.756212,7.639974910810602
2.387683,16.744625,8.15002808767115
3.5454948,17.001299,5.537602002101044
1.0711925,20.03893,5.823908740944319
5.428306,13.722301,6.98999702587294
5.0270348,15.106987,6.060001790087838
1.057106,20.055283,7.886056647693163
3.5411022,13.834847,7.179995693191682
3.521368,13.793757,7.819874124835946
5.4799647,13.696453,7.550059011226662
5.4762783,13.697381,6.0
3.5900345,13.962192,8.010016541698601
3.576204,13.999819,7.860120913598763
1.102884,20.006323,4.958607314841775
1.0657297,20.046135,7.366531544420414
15.100754,11.24599,8.698970004336019
15.1006565,11.246127,8.0
8.438894,14.505063,7.550059011226662
5.4915767,13.668035,6.620005959834258
15.100217,11.24664,7.769551078621726
1.7803236,10.097503,7.289967300934246
1.8042003,10.132048,8.079981083971084
8.434528,14.491142,7.280006173632396
1.0557761,20.056532,8.522878745280337
5.46254,13.707623,6.679999195735272
