PC1,PC2,pKi
-4.811750563315834,7.402324019614065,8.568636235841012
-5.205111499987941,8.000154167563997,9.130768280269024
-5.205111635124653,8.000154424500897,9.100015437450608
1.6202401422720176,0.6898134268456357,7.397940008672037
-4.643787501446126,7.800176440012245,7.100015437450609
-5.0082097706097635,8.32981546967318,6.0
1.406173486407705,1.3542149668778676,8.568636235841012
-3.9719986584694675,7.924426843711357,9.30102999566398
2.042103284270219,-0.017066432190898248,6.872895201635193
1.861301506665157,2.6538607852390155,7.1487416512809245
-4.205525516960705,9.923692881870783,8.022276394711152
-4.205526761313509,9.923695247772281,8.0
0.9332699581787918,0.9758182773375089,5.76421912967244
0.9358706555393556,0.9708735432132948,6.170053304058364
-5.422843032279621,6.434253491086104,9.096910013008056
-4.876605137018549,9.292333308563636,8.154901959985743
-4.876603419811677,9.292330043619566,8.199970640755867
4.897094141511998,3.7375259720129406,6.045275209020937
-2.5447808099744744,6.362595841118875,8.4089353929735
-2.5448855844805784,6.362795050024737,7.337242168318426
-2.7592455281792034,2.3692137185309954,9.0
0.9785756734663434,0.8527641534360674,7.721246399047171
-4.353304540086536,7.106297349978488,9.958607314841776
-4.353307003905088,7.106302034463443,8.958607314841775
-1.327373429630976,1.0280633429377382,8.366531544420413
-1.3273665608034968,1.028050283161486,8.812479279163536
-4.727409616905302,7.883719440966287,8.300162274132754
-4.727409621882713,7.8837194504298935,8.299988937677888
2.159486375303937,1.0214255102453276,7.431798275933005
0.961701708575968,1.0177193536376026,8.55284196865778
-4.481437127943924,6.743236855382559,8.309803919971486
-4.481492128337865,6.743341428228632,7.568636235841013
-4.9745627304215505,8.008081114140579,6.0
2.2383270208311132,1.2775075757718848,5.6611452537476765
-1.327378904783315,1.0280737529043147,8.187086643357144
-1.3275120505333524,1.0283269043642633,7.221848749616356
3.242298956139486,2.4789871721648686,6.634512015109101
2.6063629652567846,1.5351841383281044,8.568636235841012
1.2438563390376216,1.787792926668738,8.522878745280337
0.9449222205018868,1.569928291749107,8.42021640338319
-4.527028915287956,7.735905859827168,7.356547323513812
-4.526964208942144,7.735782832949436,7.744727494896693
-4.488595207368028,5.744596644801917,8.537602002101044
-5.494954679340856,8.303588385278118,7.1487416512809245
-5.494880018172611,8.30344643118843,7.387216143280264
-4.547808431224541,5.793269782823604,9.022276394711152
-5.4139377898074175,10.678186351271808,7.920818753952375
-5.413939258143726,10.678189143035569,7.899974269892137
1.9361576646616316,1.2823135422524197,8.0
2.2429833890240474,1.268654372378197,6.507239610973162
-4.6843229205444965,7.507579401508754,6.0
-6.7924938268736685,9.976361174181996,9.744727494896694
-4.576330946845442,10.343220590319117,7.886056647693163
-4.5763299264761415,10.343218650279889,7.899974269892137
3.652245859554648,3.5651493550162625,6.508638306165727
1.8636128381919939,0.6438111251003623,6.718966632752273
-4.70585401416742,7.841419067971114,6.199998172182031
-3.983807689996399,10.231510211822302,7.443697499232712
-3.9838171719647657,10.231528239991691,7.400007822415902
1.6572948838777635,1.395927888955793,8.431798275933005
1.35026300113877,1.3343692296822576,8.301029995663981
-4.987261929467492,9.720785503253786,7.221848749616356
-2.104445911664289,7.287059398764393,8.154901959985743
-1.3273726357338882,1.0280618334925833,8.400007822415901
4.898572432643263,3.7347152810370705,6.512861624522813
-6.487805514380465,9.937064146385802,8.795880017344075
-6.487805477049879,9.937064075408758,8.79997073344623
0.980180610549821,1.7049129276707595,8.522878745280337
1.555538508328021,1.0390382279441401,7.958607314841775
-5.096677302044252,6.605138496338302,7.920818753952375
-5.096652663858732,6.605091651488702,8.67778070526608
-6.792496863094513,9.976366946981644,8.853871964321762
-6.792499351800118,9.976371678784632,8.619788758288394
-5.14767080046515,7.584297848005919,6.199998172182031
2.4035857311517286,1.5596014116708568,6.694648630553377
-5.286737916265394,6.793785333572637,8.455931955649724
2.6711708597764394,-0.64156926997478,7.301029995663981
-3.1025037347232356,7.01062205083319,7.443697499232712
-3.102461426727896,7.010541610182367,7.721246399047171
-3.772253363290324,6.800330067234207,8.102372908709558
-3.7723506716796056,6.800515080731102,7.327902142064283
2.946300580494843,3.156733251982938,8.698970004336019
1.5633388343361185,0.21214080967230672,6.46344155742847
1.6703276881034166,1.7163791149270726,7.769551078621726
-2.9545582084939297,6.316965783222417,8.443697499232712
-2.9546537747892847,6.317147484457221,7.376750709602099
3.6515564881011766,3.5664600644444047,6.231361898752385
0.9791474535522615,0.42331765499409163,8.397940008672037
2.088584926233951,1.1390788893038224,8.795880017344075
-4.637939860845776,8.04129065820057,6.699991797446187
-1.468656991838826,4.06710361666089,7.397940008672037
1.503005444176577,1.1425015540948995,7.958607314841775
1.4058836084568127,1.1921308251811407,8.537602002101044
-3.7851826345943107,7.1329178546336625,7.299988937677887
