tSNE1,tSNE2,pKi
-21.769629,-68.61269,6.900008766455316
-21.769629,-68.61269,7.709965388637482
-20.223911,-3.720864,6.589999287456538
-18.516365,-67.29886,7.090016305060156
-18.516365,-67.29886,7.519993057042849
27.040718,54.952145,8.698970004336019
-72.1521,-17.951109,8.53003079050004
19.84778,-6.637407,7.599980364934842
19.845669,-6.637286,7.439973751087107
12.6078415,-46.430298,7.639974910810602
12.6118355,-46.43361,8.15002808767115
1.4274778,18.978174,5.537602002101044
-45.79243,-56.350327,5.823908740944319
-17.623035,-1.1797618,6.98999702587294
-26.459785,0.79208696,6.060001790087838
-45.548054,-59.187332,7.886056647693163
7.267731,-27.74972,7.179995693191682
7.267731,-27.74972,7.819874124835946
-19.71709,-3.2841985,7.550059011226662
-19.71709,-3.2841985,6.0
17.500072,-21.75244,8.010016541698601
17.49997,-21.75228,7.860120913598763
-46.40875,-57.019695,4.958607314841775
-45.364864,-58.56595,7.366531544420414
26.399492,57.513332,8.698970004336019
26.399492,57.513332,8.0
-74.02273,-18.06563,7.550059011226662
-21.372656,-2.7619143,6.620005959834258
27.2782,57.39096,7.769551078621726
-21.769629,-68.61269,7.289967300934246
-21.769629,-68.61269,8.079981083971084
-74.00501,-19.481379,7.280006173632396
-46.17047,-59.375217,8.522878745280337
25.977882,-59.054783,6.679999195735272
-39.142925,-28.34833,7.580044251510242
-39.142635,-28.347862,8.770062314092065
-44.392002,-57.734028,5.769551078621726
-13.591058,-18.172762,7.53003079050004
-13.591058,-18.172762,8.070019409484486
-43.545727,-57.306717,5.481486060122113
28.01275,58.289974,7.657577319177793
-45.45061,-57.41223,5.568636235841013
-45.45061,-57.41223,5.3979400086720375
3.4647176,19.385576,8.221848749616356
-44.262886,-55.359528,6.060480747381382
25.112865,57.982025,7.161150909262744
26.459898,58.828022,8.154901959985743
-3.5556583,-13.570758,7.869988050328096
-3.5556583,-13.570758,8.079981083971084
1.5283321,16.45374,5.698970004336019
-45.82406,-60.010777,5.267606240177032
-18.991188,-2.3945444,5.949999401714238
-20.231564,-2.2773607,6.950007143079858
-44.7236,-60.156704,5.3979400086720375
-46.17308,-62.76431,6.0
3.9582317,19.546793,7.552841968657781
-75.23369,-18.05277,8.029978734171634
-74.01682,-18.08398,7.789949150124863
-4.092832,-14.5108185,6.23000269597146
-4.092832,-14.5108185,6.929999096197655
-20.995264,-67.319534,7.50003813440381
-20.995264,-67.319534,6.909988975992853
1.6623648,16.17284,5.6777807052660805
3.4456172,-25.888514,7.809948582240794
3.4456172,-25.888514,8.389978975335854
-44.642937,-56.91507,5.376750709602099
-20.064478,-3.5921717,6.719991046891814
